Stock,Date,Neu,Pos,Neg
AAPL,2020-06-30,0.3422300970705692,0.6064580678939819,0.0513118540867481
AAPL,2020-07-31,0.9999880194664001,4.835667013480816e-07,1.153475250248448e-05
AAPL,2020-09-30,0.9999003708362579,2.8760395878180134e-06,9.670126064520446e-05
AAPL,2020-10-31,0.748452687378041,0.1041690346876926,0.14737826803975432
AAPL,2020-11-30,0.7005954395738097,0.09277427854979478,0.20663028183652063
AAPL,2020-12-31,0.4708216420567836,0.24888292599663117,0.28029543123126394
AAPL,2021-01-31,0.633211830709588,0.18158273562032343,0.185205430010015
AAPL,2021-02-28,0.6596171172882066,0.21344690427363552,0.12693596903822169
AAPL,2021-03-31,0.6605009072400505,0.14952725240046782,0.18997184433857503
AAPL,2021-04-30,0.7536630361924453,0.13867421737849003,0.10766273779696499
AAPL,2021-05-31,0.6927342823742004,0.23274878009279026,0.07451693578598219
AAPL,2021-06-30,0.6495011601797069,0.11417818907884794,0.2363206682729467
AAPL,2021-07-31,0.5745714876221865,0.18999758542779047,0.23543093051017364
AAPL,2021-08-31,0.5822363377257964,0.21388013196057074,0.20388352070049554
AAPL,2021-09-30,0.673871372643083,0.11428833778246598,0.21184028388319381
AAPL,2021-10-31,0.4956785920591727,0.13619296814040133,0.36812843334364737
AAPL,2021-11-30,0.5979132135127725,0.1793527733101527,0.22273400100814617
AAPL,2021-12-31,0.5795981295499363,0.12225357506189348,0.2981482950103288
AAPL,2022-01-31,0.49617764760629607,0.23122063206541232,0.2726017257490398
AAPL,2022-02-28,0.4680382336999302,0.29930549194189027,0.23265627658676585
AAPL,2022-03-31,0.7482208355422095,0.13002646256460632,0.1217526999261102
AAPL,2022-04-30,0.5309079334437742,0.32129843550272125,0.14779363051962385
AAPL,2022-05-31,0.4873776705414101,0.1983054325972192,0.3143168847111227
AAPL,2022-06-30,0.5782006578960319,0.1495427025203964,0.27225664549317147
AAPL,2022-07-31,0.49337811322446296,0.3047617823463033,0.2018601014956634
AAPL,2022-08-31,0.7686673456407956,0.13006387625675747,0.10126877259710933
ABNB,2020-11-30,0.7918743047127407,0.2005751373089879,0.00755055307624275
ABNB,2020-12-31,0.7073374711348416,0.14533103227690922,0.14733149322255892
ABNB,2021-01-31,0.6477929791898615,0.2547078560381861,0.09749917453506964
ABNB,2021-02-28,0.45595906677361436,0.39632393744871147,0.14771696941310297
ABNB,2021-03-31,0.7082488623313725,0.1530537814400258,0.13869734290954627
ABNB,2021-04-30,0.5415045904469675,0.3015332064680152,0.15696221627102483
ABNB,2021-05-31,0.6473602405211855,0.3210714213531659,0.031568339040369334
ABNB,2021-06-30,0.6570851643863562,0.18635294618905862,0.15656188396906015
ABNB,2021-07-31,0.7001175262640685,0.19732172214425275,0.10256074410301662
ABNB,2021-08-31,0.5302322067265645,0.2957682527515952,0.17399953223923628
ABNB,2021-09-30,0.647350692224063,0.31613601215663273,0.036513285015484905
ABNB,2021-10-31,0.5726339085531308,0.3886592340323868,0.03870685544921045
ABNB,2021-11-30,0.5680699605589916,0.3244109607390198,0.10751910450180567
ABNB,2021-12-31,0.7764207636210573,0.1831709796563266,0.04040828185531607
ABNB,2022-01-31,0.7095185067061416,0.2119744472198942,0.07850705795002857
ABNB,2022-02-28,0.4682841519798377,0.3348113644060146,0.19690448447140482
ABNB,2022-03-31,0.5896369067443397,0.2695699897419388,0.14079310965493586
ABNB,2022-04-30,0.6673765718045656,0.2719710419135201,0.060652371213274596
ABNB,2022-05-31,0.6287737200406467,0.26342706747062594,0.10779921923977882
ABNB,2022-06-30,0.6418355601906115,0.1606783730592049,0.19748605725383855
ABNB,2022-07-31,0.6271045538899552,0.27856524686499184,0.09433020054744139
ABNB,2022-08-31,0.5602857044111526,0.35430586638004286,0.08540843654457414
ADBE,2020-10-31,0.4367824486163027,0.4638360537179629,0.09938150710131581
ADBE,2020-11-30,0.6046366401904628,0.3161656717622864,0.07919767305513944
ADBE,2020-12-31,0.45131510364862604,0.426446588843914,0.12223828757926579
ADBE,2021-01-31,0.39749435673692946,0.5219345985057757,0.08057102916053474
ADBE,2021-02-28,0.393992629967366,0.5716929821291453,0.0343143800913522
ADBE,2021-03-31,0.33463095645734603,0.5782041380435398,0.08716489109188862
ADBE,2021-04-30,0.2822183251206696,0.6162989570336733,0.10148271559080015
ADBE,2021-05-31,0.4363788023130607,0.4669340942558985,0.09668711104170592
ADBE,2021-06-30,0.4977465321443747,0.3793757760775285,0.12287768902148673
ADBE,2021-07-31,0.3302944638599089,0.5348390517857102,0.13486647035276508
ADBE,2021-08-31,0.3991584335716762,0.4612362626333604,0.13960529953192388
ADBE,2021-09-30,0.5167069269058966,0.4112784551795942,0.07201461001938325
ADBE,2021-10-31,0.5041878070260268,0.37476652806633565,0.12104566942075376
ADBE,2021-11-30,0.48557120436664886,0.4151529180114325,0.09927587634041803
ADBE,2021-12-31,0.49511335013848007,0.3118116438531213,0.19307499840243178
ADBE,2022-01-31,0.7085034430584142,0.10191514543563282,0.18958141425749525
ADBE,2022-02-28,0.5640598629109091,0.3361166791092434,0.09982346183135143
ADBE,2022-03-31,0.5285515519896193,0.2305170056647512,0.24093143233530726
ADBE,2022-04-30,0.39531009535247114,0.40503684156356956,0.19965304970616746
ADBE,2022-05-31,0.39106146578431944,0.4386400216606947,0.170298517567579
ADBE,2022-06-30,0.5320419618166593,0.339650689412547,0.12830733714892392
ADBE,2022-07-31,0.5304637709008422,0.4020640074708882,0.06747221837867219
ADBE,2022-08-31,0.6211010102905404,0.3049437644557718,0.07395522892521876
