,Date,Stock,pos_ma,neu_ma,neg_ma
0,2022-09-30,A,1.0,5.82961305894969e-08,8.049627631123712e-09
1,2022-10-31,A,1.0,5.4972826291077594e-08,7.521991918224558e-09
2,2022-11-30,A,0.9999955892562866,4.380394329928095e-06,5.380638512519909e-08
3,2022-12-31,A,0.3959740216157759,0.6039033434764557,0.0001226440331265
4,2023-01-31,A,0.9930290381113688,0.0017029211439875,0.0052680221156341
5,2023-02-28,A,0.6435043818892154,0.103251365066127,0.2532442670002433
6,2023-03-31,A,0.921554684638977,0.078422626158499,2.2715615585866544e-05
7,2023-04-30,A,0.0049769873730838,0.9946322441101074,0.0003907549544237
8,2023-05-31,A,0.0017458579277444,0.9155982931454976,0.0826558476061714
9,2023-06-30,A,0.9999989867210388,2.958253588758453e-07,6.883863434836713e-07
10,2023-08-31,A,0.5000188260382856,0.4998788544843019,0.0001023201011895
11,2023-09-30,A,0.62530380487442,0.3089446672500031,0.0657515657301814
12,2022-09-30,AAL,0.4999645727801294,0.5000273424011539,8.017785148695111e-06
13,2022-10-31,AAL,1.0175930071909534e-06,0.4999935801463949,0.5000054142760746
14,2022-11-30,AAL,0.2500043115974222,0.4999758905219494,0.2500198250950338
15,2022-12-31,AAL,0.0454801675817482,0.6669237735137964,0.2875960746734259
16,2023-01-31,AAL,0.0001769558868763,0.9996837178866068,0.0001392987841578
17,2023-02-28,AAL,0.4976189999588313,0.0024230437920778,0.4999579355990136
18,2023-03-31,AAL,0.0131017220028439,0.6372004452738906,0.3496978504990692
19,2023-04-30,AAL,0.5005783218090016,0.4935954738183489,0.0058262044744381
20,2023-05-31,AAL,0.0001415705942614,0.9994184970855712,0.0004399362005642
21,2023-06-30,AAL,0.3519446122186309,0.1973563222564962,0.4506990806463363
22,2023-07-31,AAL,0.4447746670091419,0.5535101763596231,0.0017151421650112
23,2023-08-31,AAL,0.2397095871420233,0.5020444748224691,0.2582459365039255
24,2023-09-30,AAL,0.8880323171615601,0.1047693714499473,0.007198266685009
25,2022-09-30,AAPL,0.9999997615814208,1.040273929220348e-07,7.96035664052397e-08
26,2022-10-31,AAPL,0.4999999857686532,0.499960136064459,3.98634169584966e-05
27,2022-11-30,AAPL,0.8483836650848389,0.1489008963108062,0.0027154448907822
28,2022-12-31,AAPL,7.099194135662401e-06,0.9999871253967284,5.737578703701729e-06
29,2023-01-31,AAPL,0.0019292075885459,0.1470101624727249,0.851060688495636
30,2023-02-28,AAPL,0.0003096802185495,0.5045136692933737,0.4951766716133079
31,2023-03-31,AAPL,0.7880498170852661,0.2092713117599487,0.0026788529939949
32,2023-04-30,AAPL,0.0001474765740567,0.0009638537303544,0.9988886713981628
33,2023-05-31,AAPL,5.2578969113407465e-06,0.9978467027346292,0.0021480818043831
34,2023-06-30,AAPL,0.2499969050054904,0.749990547750258,1.2559152878566238e-05
35,2023-07-31,AAPL,0.5006279669469221,0.4988457527215359,0.0005262757828176
36,2023-08-31,AAPL,0.5023575259838252,0.4973866332631473,0.0002558414428221
37,2023-09-30,AAPL,0.9999772310256958,2.2802998500992544e-05,4.8833733501396643e-08
38,2022-09-30,ABBV,0.493490602588281,0.0273811239749193,0.4791282636870165
39,2022-10-31,ABBV,5.87173390158552e-05,0.4999518988406635,0.4999893498143137
40,2022-11-30,ABBV,0.0037103966187714,0.9961830178896586,0.0001065682508851
41,2022-12-31,ABBV,0.2317915211431681,0.6997973110526801,0.0684111598631716
42,2023-01-31,ABBV,0.1105000910343818,0.6342247885672307,0.2552751282382814
43,2023-02-28,ABBV,0.2500090753752246,0.4635359258419953,0.2864550280179259
44,2023-03-31,ABBV,0.7823630571365356,0.2176113594264279,2.553065269239596e-05
45,2023-04-30,ABBV,0.540928840637207,0.3693604618310928,0.0897106695920228
46,2023-05-31,ABBV,0.2395936988029205,0.7592035531997681,0.0012027371703879
47,2023-06-30,ABBV,0.3575357301557687,0.6150266810862888,0.0274375668169454
48,2023-07-31,ABBV,7.006806663408149e-05,0.4999019279579002,0.5000280217900581
49,2023-08-31,ABBV,0.9944050510724386,0.0048514891686863,0.0007434454067454
50,2023-09-30,ABBV,0.980302780866623,4.552464702101133e-05,0.0196516854716434
51,2022-09-30,ABT,0.4767831026557587,0.5230815410614014,0.0001353543875665
52,2022-10-31,ABT,0.0234672513579425,0.9718559384346008,0.0046767528619965
53,2022-11-30,ABT,0.0057750651612877,0.9936739206314088,0.0005510022165253
54,2022-12-31,ABT,0.5000037991248973,4.799312449677018e-07,0.499995705459817
55,2023-01-31,ABT,0.6310009788964331,0.2079566840257718,0.1610423397346636
56,2023-02-28,ABT,4.950797780622906e-06,0.0028064792815598,0.997188538312912
57,2023-03-31,ABT,0.9426501095294952,0.0236986707791402,0.033651162275504
58,2023-04-30,ABT,0.9898324012756348,0.0084114409207055,0.001756156469734
59,2023-05-31,ABT,0.6670699962414801,0.3329200211129214,9.932401539458622e-06
60,2023-06-30,ABT,0.5263063781894743,0.4511292552058314,0.0225643717239769
61,2023-07-31,ABT,0.9997039039929708,0.0002887868353405,7.2774227325804e-06
62,2023-08-31,ABT,0.5376097553962609,0.1481976196228061,0.3141926290700212
63,2023-09-30,ABT,0.998863935470581,0.0009429959864064,0.0001930820255892
64,2022-09-30,ACGL,9.093839253182525e-06,0.9998632669448853,0.0001276182447327
65,2022-10-31,ACGL,0.7269677397785017,0.0233770080786257,0.2496552635593332
66,2022-11-30,ACGL,0.3201355806211078,0.6796668643752733,0.0001975996492546
67,2022-12-31,ACGL,0.6491676022718593,0.3507678595681985,6.450406749535301e-05
